GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,Actor1__model_time_in_ms,Actor1_release_harness_version,Actor1_release_model_version,Actor1_release_model_version_number,Actor1_request_id,Actor1_result_class1,Actor1_result_class2,Actor1_timing,Actor2__model_time_in_ms,Actor2_release_harness_version,Actor2_release_model_version,Actor2_release_model_version_number,Actor2_request_id,Actor2_result_class1,Actor2_result_class2,Actor2_timing
838788898,4/16/2018,201804,2018,2018.2904,USA,ALABAMA,USA,,,,,,,,OPP,PRISONER,,,,,,OPP,,,1,173,173,17,4,-5,21,3,21,1.692747522,2,"Alabama, United States",US,USAL,,32.799,-86.8073,AL,2,"Alabama, United States",US,USAL,,32.799,-86.8073,AL,2,"Alabama, United States",US,USAL,,32.799,-86.8073,AL,2.01904E+13,https://www.mix96.co.uk/news/showbiz/2852800/its-my-dream-kim-kardashian-hits-back-at-critics-of-her-law-studies/,0,0.1,5ec427ae4cedfd0008830f07,4,WJ5UXA8I9Y4DS3BQ,TRUE,4,0.105857849,1001,0.1,5ec427ae4cedfd0008830f07,4,2CGRJM8W0375KPEY,TRUE,1,1000.554323
838788899,4/16/2018,201804,2018,2018.2904,USA,ALABAMA,USA,,,,,,,,OPP,PRISONER,,,,,,OPP,,,1,173,173,17,4,-5,3,3,3,1.692747522,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"California, United States",US,USCA,,36.17,-119.746,CA,2.01904E+13,https://www.mix96.co.uk/news/showbiz/2852800/its-my-dream-kim-kardashian-hits-back-at-critics-of-her-law-studies/,0,0.1,5ec427ae4cedfd0008830f07,4,7IRVYBO5Q6TXHGWN,TRUE,4,0.079870224,1001,0.1,5ec427ae4cedfd0008830f07,4,SDA9W2704LT3KRYU,TRUE,1,1000.506401
838788901,3/17/2019,201903,2019,2019.211,MIL,CARRIER,,,,,,MIL,,,GOVBUS,PUBLIC SECTOR,,,,,,GOV,BUS,,0,20,20,2,1,3,10,1,10,-5.309734513,1,India,IN,IN,,20,77,IN,1,India,IN,IN,,20,77,IN,1,India,IN,IN,,20,77,IN,2.01904E+13,https://www.360nobs.com/2019/04/jet-airways-fails-to-secure-emergency-financing/,0,0.1,5ec427ae4cedfd0008830f07,4,9GLSI10UYADNOHJK,FALSE,3,0.07557869,0,0.1,5ec427ae4cedfd0008830f07,4,N4TWRG7HJVFSKQ05,FALSE,3,0.127077103
838788902,3/17/2019,201903,2019,2019.211,MIL,CARRIER,,,,,,MIL,,,GOVBUS,PUBLIC SECTOR,,,,,,GOV,BUS,,0,73,73,7,2,7.4,10,1,10,-5.309734513,1,India,IN,IN,,20,77,IN,1,India,IN,IN,,20,77,IN,1,India,IN,IN,,20,77,IN,2.01904E+13,https://www.360nobs.com/2019/04/jet-airways-fails-to-secure-emergency-financing/,0,0.1,5ec427ae4cedfd0008830f07,4,8ANR2P0YXHS3DMTJ,FALSE,3,0.073671341,0,0.1,5ec427ae4cedfd0008830f07,4,J5YOEIR6GUS3WPD1,FALSE,3,0.073432922
838788903,3/17/2019,201903,2019,2019.211,USA,SAN DIEGO,USA,,,,,,,,COP,BORDER PATROL AGENT,,,,,,COP,,,1,60,60,6,2,6,2,1,2,-1.758241758,3,"El Paso, Texas, United States",US,USTX,TX141,31.7587,-106.487,1380946,1,Mexico,MX,MX,,23,-102,MX,1,Mexico,MX,MX,,23,-102,MX,2.01904E+13,http://www.elpasoinc.com/news/local_news/long-delays-at-border-bridges-bring-anxiety-for-businesses-as/article_623a99a8-6053-11e9-b07e-17424125305e.html,0,0.1,5ec427ae4cedfd0008830f07,4,UJ2N63VH8LEOS1AK,TRUE,4,0.105619431,0,0.1,5ec427ae4cedfd0008830f07,4,FJ5GSZB1RX8L0DPN,TRUE,3,0.077724457
838788904,3/17/2019,201903,2019,2019.211,USA,INDIANA,USA,,,,,,,,JUD,JUDGE,,,,,,JUD,,,0,51,51,5,1,3.4,1,1,1,-0.186915888,3,"New Lake, Indiana, United States",US,USIN,IN051,38.3209,-87.3209,446902,3,"New Lake, Indiana, United States",US,USIN,,38.3209,-87.3209,446902,3,"New Lake, Indiana, United States",US,USIN,,38.3209,-87.3209,446902,2.01904E+13,https://www.eaglecountryonline.com/news/local-news/lawrenceburg-mayor-candidate-has-ideas-for-new-lake-roads/,0,0.1,5ec427ae4cedfd0008830f07,4,AJUL6O142KSN03C7,TRUE,4,0.077486038,0,0.1,5ec427ae4cedfd0008830f07,4,GV5O81AS0DQJCTEF,TRUE,3,0.075101852
838788905,3/17/2019,201903,2019,2019.211,USA,INDIANA,USA,,,,,,,,JUD,JUDGE,,,,,,JUD,,,0,51,51,5,1,3.4,1,1,1,-0.186915888,3,"New Lake, Indiana, United States",US,USIN,IN051,38.3209,-87.3209,446902,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,2.01904E+13,https://www.eaglecountryonline.com/news/local-news/lawrenceburg-mayor-candidate-has-ideas-for-new-lake-roads/,0,0.1,5ec427ae4cedfd0008830f07,4,D561PTE42RHYJZKA,TRUE,4,0.086069107,0,0.1,5ec427ae4cedfd0008830f07,4,G6PHM83CFE7QOYXK,TRUE,3,0.081777573
838788907,3/17/2019,201903,2019,2019.211,USAJUD,UNITED STATES,USA,,,,,JUD,,,JUD,JUDGE,,,,,,JUD,,,0,51,51,5,1,3.4,1,1,1,-0.186915888,3,"New Lake, Indiana, United States",US,USIN,IN051,38.3209,-87.3209,446902,3,"New Lake, Indiana, United States",US,USIN,,38.3209,-87.3209,446902,3,"New Lake, Indiana, United States",US,USIN,,38.3209,-87.3209,446902,2.01904E+13,https://www.eaglecountryonline.com/news/local-news/lawrenceburg-mayor-candidate-has-ideas-for-new-lake-roads/,0,0.1,5ec427ae4cedfd0008830f07,4,7QI5DOAL3NBEX4FP,TRUE,3,0.101566315,0,0.1,5ec427ae4cedfd0008830f07,4,Y8JUVCKGZ4R9DPB0,TRUE,3,0.08559227
838788908,3/17/2019,201903,2019,2019.211,USAJUD,INDIANA,USA,,,,,JUD,,,JUD,JUDGE,,,,,,JUD,,,0,51,51,5,1,3.4,6,1,6,-0.186915888,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,2.01904E+13,https://www.eaglecountryonline.com/news/local-news/lawrenceburg-mayor-candidate-has-ideas-for-new-lake-roads/,1000,0.1,5ec427ae4cedfd0008830f07,4,9GZPQ4D8VAES53RU,TRUE,3,1000.398159,0,0.1,5ec427ae4cedfd0008830f07,4,C4NW0SFZ8GKPMUTH,TRUE,3,0.055074692
838788910,4/9/2019,201904,2019,2019.2712,BUS,COMPANY,,,,,,BUS,,,MNCUSA,CHEVRON CORP,USA,,,,,MNC,,,1,60,60,6,2,6,6,1,6,-3.291880029,3,"Rocky Mountain, Colorado, United States",US,USCO,CO041,38.8597,-104.957,193446,3,"Rocky Mountain, Colorado, United States",US,USCO,,38.8597,-104.957,193446,3,"Rocky Mountain, Colorado, United States",US,USCO,,38.8597,-104.957,193446,2.01904E+13,https://www.sfgate.com/business/article/Sexual-playthings-MeToo-moment-for-Anadarko-s-13771276.php,0,0.1,5ec427ae4cedfd0008830f07,4,1VXNF0Y3A2Q8UOJZ,TRUE,3,0.079631805,0,0.1,5ec427ae4cedfd0008830f07,4,2JUT73O8VP1WSYGA,TRUE,3,0.084161758
838788912,4/9/2019,201904,2019,2019.2712,EGY,EGYPT,EGY,,,,,,,,EGYGOV,EGYPT,EGY,,,,,GOV,,,1,43,43,4,1,2.8,2,1,2,-2.944640754,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,2.01904E+13,https://www.msn.com/en-gb/news/other/egypt-is-slipping-dangerously-far-from-democracy-as-the-west-waves-through-a-sisi-dictatorship/ar-BBVZFP6,0,0.1,5ec427ae4cedfd0008830f07,4,8SZFDKHAWEO2CRMI,TRUE,3,0.046491623,0,0.1,5ec427ae4cedfd0008830f07,4,UMZ8FD1X9CYENJV5,TRUE,3,0.08058548
838788913,4/9/2019,201904,2019,2019.2712,EGY,EGYPT,EGY,,,,,,,,GOV,PRESIDENT,,,,,,GOV,,,1,43,43,4,1,2.8,6,1,6,-2.944640754,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,2.01904E+13,https://www.msn.com/en-gb/news/other/egypt-is-slipping-dangerously-far-from-democracy-as-the-west-waves-through-a-sisi-dictatorship/ar-BBVZFP6,0,0.1,5ec427ae4cedfd0008830f07,4,OBXHIN13UMDYKGW7,TRUE,3,0.064134598,0,0.1,5ec427ae4cedfd0008830f07,4,PA107YUQWRTS2NBE,TRUE,3,0.063896179
838788914,4/9/2019,201904,2019,2019.2712,EGY,EGYPT,EGY,,,,,,,,USA,THE US,USA,,,,,,,,1,42,42,4,1,1.9,2,1,2,-2.944640754,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,2.01904E+13,https://www.msn.com/en-gb/news/other/egypt-is-slipping-dangerously-far-from-democracy-as-the-west-waves-through-a-sisi-dictatorship/ar-BBVZFP6,0,0.1,5ec427ae4cedfd0008830f07,4,Z4WXTKVDCJFS7L2O,TRUE,3,0.04529953,0,0.1,5ec427ae4cedfd0008830f07,4,MLUIYZFNP4B5HOVD,TRUE,4,0.049114227
838788915,4/9/2019,201904,2019,2019.2712,EGYGOV,EGYPT,EGY,,,,,GOV,,,EGY,EGYPT,EGY,,,,,,,,1,42,42,4,1,1.9,2,1,2,-2.944640754,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,2.01904E+13,https://www.msn.com/en-gb/news/other/egypt-is-slipping-dangerously-far-from-democracy-as-the-west-waves-through-a-sisi-dictatorship/ar-BBVZFP6,1001,0.1,5ec427ae4cedfd0008830f07,4,0VOJ1U9QS3EGRKWZ,TRUE,3,1000.569344,1001,0.1,5ec427ae4cedfd0008830f07,4,9OD6EMX5IBW3RHJN,TRUE,3,1001.21665
838788916,4/9/2019,201904,2019,2019.2712,EGYGOV,EGYPT,EGY,,,,,GOV,,,USA,THE US,USA,,,,,,,,1,42,42,4,1,1.9,2,1,2,-2.944640754,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,2.01904E+13,https://www.msn.com/en-gb/news/other/egypt-is-slipping-dangerously-far-from-democracy-as-the-west-waves-through-a-sisi-dictatorship/ar-BBVZFP6,0,0.1,5ec427ae4cedfd0008830f07,4,7CKE8MON24UXR1JT,TRUE,3,0.079154968,0,0.1,5ec427ae4cedfd0008830f07,4,JEGY02ZU9AQ67KLT,TRUE,4,0.079393387
838788917,4/9/2019,201904,2019,2019.2712,GOV,PRESIDENT,,,,,,GOV,,,EGY,EGYPT,EGY,,,,,,,,1,42,42,4,1,1.9,6,1,6,-2.944640754,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,2.01904E+13,https://www.msn.com/en-gb/news/other/egypt-is-slipping-dangerously-far-from-democracy-as-the-west-waves-through-a-sisi-dictatorship/ar-BBVZFP6,0,0.1,5ec427ae4cedfd0008830f07,4,J1I68LMHB9TZFQXE,TRUE,3,0.060081482,0,0.1,5ec427ae4cedfd0008830f07,4,6L30SE47X2CIDTW9,TRUE,3,0.070810318
838788918,4/9/2019,201904,2019,2019.2712,GOV,AUTHORITIES,,,,,,GOV,,,GRC,GREEK,GRC,,,,,,,,1,36,36,3,1,4,4,1,4,-0.930232558,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,2.01904E+13,https://news.gtp.gr/2019/04/16/greek-govt-considers-allowing-municipality-say-so-airbnb-policies/,0,0.1,5ec427ae4cedfd0008830f07,4,OJPH2SEM78CRBLKY,TRUE,3,0.086307526,0,0.1,5ec427ae4cedfd0008830f07,4,REP5F3G1ZQ9TIXD8,TRUE,3,0.065326691
838788919,4/9/2019,201904,2019,2019.2712,GOV,AUTHORITIES,,,,,,GOV,,,GRCGOV,GREEK,GRC,,,,,GOV,,,1,36,36,3,1,4,6,1,6,-0.930232558,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,2.01904E+13,https://news.gtp.gr/2019/04/16/greek-govt-considers-allowing-municipality-say-so-airbnb-policies/,2002,0.1,5ec427ae4cedfd0008830f07,4,S5IUP8BFRHYK6Q4G,TRUE,3,2001.646996,0,0.1,5ec427ae4cedfd0008830f07,4,0ES13TCF8254VPRI,TRUE,3,0.080347061
838788920,4/9/2019,201904,2019,2019.2712,GOV,SPECIAL ENVOY,,,,,,GOV,,,PSE,PALESTINIAN,PSE,,,,,,,,0,20,20,2,1,3,2,1,2,1.104972376,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,2.01904E+13,http://www.israeltoday.co.il/NewsItem/tabid/178/nid/36437/Default.aspx,2002,0.1,5ec427ae4cedfd0008830f07,4,FGWHE25Y1MZTJKQ8,TRUE,0,2002.233028,0,0.1,5ec427ae4cedfd0008830f07,4,KGHLWAIB6RZ24F8X,TRUE,0,0.079154968
838788921,4/9/2019,201904,2019,2019.2712,GOV,PRESIDENT,,,,,,GOV,,,USA,THE US,USA,,,,,,,,1,42,42,4,1,1.9,6,1,6,-2.944640754,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,4,"Sharm El Sheikh, Janub Sina', Egypt",EG,EG26,66041,27.8518,34.305,-302053,2.01904E+13,https://www.msn.com/en-gb/news/other/egypt-is-slipping-dangerously-far-from-democracy-as-the-west-waves-through-a-sisi-dictatorship/ar-BBVZFP6,0,0.1,5ec427ae4cedfd0008830f07,4,4386975TSCYXZPWM,TRUE,3,0.081539154,0,0.1,5ec427ae4cedfd0008830f07,4,WFJIZC2NQS9B3OP0,TRUE,4,0.077009201
838788922,4/9/2019,201904,2019,2019.2712,GRC,GREEK,GRC,,,,,,,,GOV,AUTHORITIES,,,,,,GOV,,,1,36,36,3,1,4,4,1,4,-0.930232558,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,2.01904E+13,https://news.gtp.gr/2019/04/16/greek-govt-considers-allowing-municipality-say-so-airbnb-policies/,0,0.1,5ec427ae4cedfd0008830f07,4,C4SGX8EA6ZJ7Y5TN,TRUE,3,0.105142593,0,0.1,5ec427ae4cedfd0008830f07,4,OGX7E0CPJV6THQUL,TRUE,3,0.108957291
838788923,4/9/2019,201904,2019,2019.2712,GRC,GREEK,GRC,,,,,,,,GOV,AUTHORITIES,,,,,,GOV,,,1,841,84,8,2,7,4,1,4,-0.930232558,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,4,"Santorini, Perifereia Notiou Aigaiou, Greece",GR,GR61,16709,36.3956,25.4592,-829276,2.01904E+13,https://news.gtp.gr/2019/04/16/greek-govt-considers-allowing-municipality-say-so-airbnb-policies/,0,0.1,5ec427ae4cedfd0008830f07,4,VATMBWL0S9IUR1OD,TRUE,3,0.081062317,0,0.1,5ec427ae4cedfd0008830f07,4,VJ2HSKQZX3MRL4P5,TRUE,3,0.077962875
